,french,latin,english,id
0,Accenteur à gorge noire,Prunella atrogularis,Black-throated Accentor,accenteur.a.gorge.noire
1,Accenteur alpin,Prunella collaris,Alpine Accentor,accenteur.alpin
2,Accenteur mouchet,Prunella modularis,Dunnock,accenteur.mouchet
3,Agrobate roux,Cercotrichas galactotes,Rufous-tailed Scrub Robin,agrobate.roux
4,Aigle botté,Hieraaetus pennatus,Booted Eagle,aigle.botte
5,Aigle criard,Clanga clanga,Greater Spotted Eagle,aigle.criard
6,Aigle de Bonelli,Aquila fasciata,Bonelli's Eagle,aigle.de.bonelli
7,Aigle des steppes,Aquila nipalensis,Steppe Eagle,aigle.des.steppes
8,Aigle ibérique,Aquila adalberti,Spanish Imperial Eagle,aigle.iberique
9,Aigle impérial,Aquila heliaca,Eastern Imperial Eagle,aigle.imperial
10,Aigle pomarin,Clanga pomarina,Lesser Spotted Eagle,aigle.pomarin
11,Aigle royal,Aquila chrysaetos,Golden Eagle,aigle.royal
12,Aigrette des récifs,Egretta gularis,Western Reef Heron,aigrette.des.recifs
13,Aigrette garzette,Egretta garzetta,Little Egret,aigrette.garzette
14,Albatros à nez jaune,Thalassarche chlororhynchos,Atlantic Yellow-nosed Albatross,albatros.a.nez.jaune
15,Albatros à sourcils noirs,Thalassarche melanophris,Black-browed Albatross,albatros.a.sourcils.noirs
16,Albatros hurleur,Diomedea exulans,Wandering Albatross,albatros.hurleur
17,Alouette calandre,Melanocorypha calandra,Calandra Lark,alouette.calandre
18,Alouette calandrelle,Calandrella brachydactyla,Greater Short-toed Lark,alouette.calandrelle
19,Alouette des champs,Alauda arvensis,Eurasian Skylark,alouette.des.champs
20,Alouette haussecol,Eremophila alpestris,Horned Lark,alouette.haussecol
21,Alouette lulu,Lullula arborea,Woodlark,alouette.lulu
22,Alouette monticole,Melanocorypha bimaculata,Bimaculated Lark,alouette.monticole
23,Alouette pispolette,Alaudala rufescens,Mediterranean Short-toed Lark,alouette.pispolette
24,Ammomane élégante,Ammomanes cinctura,Bar-tailed Lark,ammomane.elegante
25,Arlequin plongeur,Histrionicus histrionicus,Harlequin Duck,arlequin.plongeur
26,Autour des palombes,Accipiter gentilis,Northern Goshawk,autour.des.palombes
27,Avocette élégante,Recurvirostra avosetta,Pied Avocet,avocette.elegante
28,Balbuzard pêcheur,Pandion haliaetus,Osprey,balbuzard.pecheur
29,Barge à queue noire,Limosa limosa,Black-tailed Godwit,barge.a.queue.noire
30,Barge rousse,Limosa lapponica,Bar-tailed Godwit,barge.rousse
31,Bartramie des champs,Bartramia longicauda,Upland Sandpiper,bartramie.des.champs
32,Bec-croisé bifascié,Loxia leucoptera,Two-barred Crossbill,bec-croise.bifascie
33,Bec-croisé des sapins,Loxia curvirostra,Red Crossbill,bec-croise.des.sapins
34,Bec-croisé perroquet,Loxia pytyopsittacus,Parrot Crossbill,bec-croise.perroquet
